day,month,year,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y,age_group,uk_interest_rate,uk_unemployment_pct,uk_gdp_growth_pct,uk_inflation_pct,uk_avg_salary_gbp,uk_consumer_confidence,uk_household_debt_to_income
19,oct,2022,30,unemployed,married,primary,no,1787,no,no,cellular,79,1,-1,0,,0,26-35,1.75,3.7,4.1,9.1,31000,−41,152.6
11,may,2020,33,services,married,secondary,no,4789,yes,yes,cellular,220,1,339,4,failure,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
16,apr,2019,35,management,single,tertiary,no,1350,yes,no,cellular,185,1,330,1,failure,0,26-35,0.75,3.8,1.6,1.8,29000,−14,137.1
3,jun,2020,30,management,married,tertiary,no,1476,yes,yes,,199,4,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
5,may,2020,59,blue-collar,married,secondary,no,0,yes,no,,226,1,-1,0,,0,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
23,feb,2018,35,management,single,tertiary,no,747,no,no,cellular,141,2,176,3,failure,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
14,may,2020,36,self-employed,married,tertiary,no,307,yes,no,cellular,341,1,330,2,other,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
6,may,2020,39,technician,married,secondary,no,147,yes,no,cellular,151,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
14,may,2020,41,entrepreneur,married,tertiary,no,221,yes,no,,57,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
17,apr,2019,43,services,married,primary,no,-88,yes,yes,cellular,313,1,147,2,failure,0,36-45,0.75,3.8,1.6,1.8,29000,−14,137.1
20,may,2020,39,services,married,secondary,no,9374,yes,no,,273,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
17,apr,2019,43,admin.,married,secondary,no,264,yes,no,cellular,113,2,-1,0,,0,36-45,0.75,3.8,1.6,1.8,29000,−14,137.1
13,aug,2021,36,technician,married,tertiary,no,1109,no,no,cellular,328,2,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
30,apr,2019,20,student,single,secondary,no,502,no,no,cellular,261,1,-1,0,,1,18-25,0.75,3.8,1.6,1.8,29000,−14,137.1
29,jan,2018,31,blue-collar,married,secondary,no,360,yes,yes,cellular,89,1,241,1,failure,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
29,aug,2021,40,management,married,tertiary,no,194,no,yes,cellular,189,2,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
27,aug,2021,56,technician,married,secondary,no,4073,no,no,cellular,239,5,-1,0,,0,56-65,0.1,4.5,7.5,2.6,29600,−15,145.3
20,apr,2019,37,admin.,single,tertiary,no,2317,yes,no,cellular,114,1,152,2,failure,0,36-45,0.75,3.8,1.6,1.8,29000,−14,137.1
23,may,2020,25,blue-collar,single,primary,no,-221,yes,no,,250,1,-1,0,,0,18-25,0.1,4.9,−9.4,0.9,28500,−34,142.8
7,jul,2021,31,services,married,secondary,no,132,no,no,cellular,148,1,152,1,other,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
18,nov,2023,38,management,divorced,,no,0,yes,no,cellular,96,2,-1,0,,0,36-45,5.25,4.2,0.3,7.3,33000,−24,158.9
19,nov,2023,42,management,divorced,tertiary,no,16,no,no,cellular,140,3,-1,0,,0,36-45,5.25,4.2,0.3,7.3,33000,−24,158.9
12,jun,2020,44,services,single,secondary,no,106,no,no,,109,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
